name,yrnom,posit,recess,success,id,analu,seatid,spaethid,zukid,birdate,biryear,birthcit,birthst,childcit,childst,childsur,famses,famjud,nomrelig,natorig,race,gender,mothname,fathname,fathoccu,fathpol,fathpoln,undsch,undsta,unddat,undschn,gradsch,gradsta,graddat,gradschn,lawsch,lawsta,lawdat,lawschn,read,readst,readyr,readn,marryn,spouse,marryr,child,militbr,milityr1,milityr2,militran,militwar,clerkj,clerkyr1,clerkyr2,barst1,baryr1,barst2,baryr2,barst3,baryr3,privtyp1,privst1,privyrf1,privyrl1,privtyp2,privst2,privyrf2,privyrl2,schname1,schrank1,schyrf1,schyrl1,schname2,schrank2,schyrf2,schyrl2,schn,schcon,sttrist,sttriyr1,sttriyr2,stapst,stapyr1,stapyr2,stsupst,stsupyr1,stsupyr2,feddist,feddi,feddiyr1,feddiyr2,fedca,fedcayr1,fedcayr2,usasat,usasat1,usasat2,usat,usat1,usat2,ussgo1,ussgo2,ussg1,ussg2,usago1,usago2,usag1,usag2,uscab,uscab1,uscab2,ussec,ussec1,ussec2,usage,usage1,usage2,usagh,usagh1,usagh2,uspres1,uspres2,ushr1,ushryrf1,ushryrl1,ushr2,ushryrf2,ushryrl2,ussn1,ussnyrf1,ussnyrl1,ussn2,ussnyrf2,ussnyrl2,conconv,concong,concong1,concong2,artcon,artcon1,artcon2,artconsp,citat,citat1,citat2,cdep,cdep1,cdep2,cdis,cdis1,cdis2,saag,saag1,saag2,stag,stag1,stag2,ltgov,ltgov1,ltgov2,gov,gov1,gov2,stcab,stcab1,stcab2,mayor,mayor1,mayor2,stsenate,stsen1,stsen2,sthouse,sthse1,sthse2,ctycl,ctycl1,ctycl2,commsn,commsn1,commsn2,datenom,datesen,judnom,usjnom,stjnom,prsznom,prstnom,prposnom,prschnom,govatnom,uslenom,uslesnom,stlenom,stlesnom,stexpnom,stexsnom,usexnom,yrposnom,agenom,stnom,parnom,prparnom,prdssr,presname,prespart,nompres,socpres,econpres,senparty,nomsen,ideo,mednmq1,medmq1,mednmq2,medmq2,qual,abarate,abavote,heardate,heardays,comdvote,comvote,intpro,intanti,sendate,senact,sensupp,senopp,serve,withdraw,dateserb,npart,nops,judgment,ndis,nconr,ncons,percrim,ncrim,percr,ncr,perfir,nfir,perunn,nunn,perecon,necon,perfed,nfed,perftax,nftax,datesere,agedep,reasdep,postdep,scssr,deathd,deathcit,deathst,deathag
"Woods, William Burnham",1880,associat,"no, not","yes, nom","83. woods, william burnham",first re,4.12,46,05.01.01,08/03/1824,1824,"newark,",ohio,"newark,",ohio,small to,upper-mi,no tradi,protesta,english/scotch,white,male,"Burnham, Sarah J.","Woods, Ezekiel",farm owner,no polit,no polit,yale uni,graduate,1845,2,no gradu,no gradu,no gradu,no gradu,no law s,no law s,no law s,no law s,"King, S.D.",ohio,1847,nominee,1,"Warner, Anne E.",1855,2,union ar,1862,1866,brigadie,civil wa,nominee did not clerk for a supreme court justice,nominee,nominee,ohio,1847,nominee,nominee,nominee,nominee,small pa,ohio,1847,1862,solo pra,alabama,1866,1868,didn't t,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,alabama,1868,1869,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,circuit,1869,1880,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,no: nomi,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,"newark,",1856,1856,nominee,nominee,nominee,ohio,1858,1862,nominee,nominee,nominee,nominee did not serve on a st commission,nominee,nominee,12/15/1880,12/15/1880,u.s. cir,u.s. cir,nominee,not a pv,not a pv,nominee,nominee,nominee,nominee,nominee,nominee,nominee,888,nominee,nominee,11,56,georgia,republic,democrat,"Strong, William","hayes, rutherford birchard",republic,data unav,data unav,data unav,democrat,-0.364,data unav,data una,data unav,data una,data unav,data unav,no aba rating,no aba r,666. NO RECORD OF HEARING,referred,12/20/1880,reported,no recor,no recor,12/21/1880,confirme,39,8,nominee,888. NOMINATION NOT WITHDRAWN,01/05/1881,data unavail,data unavail,data unavail,data unavail,data unavail,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,05/14/1887,62,died in office,justice,"Lamar, Lucius Quintus Cincinnatus",05/14/1887,washingt,district,62
"Matthews, Stanley",1881,associat,"no, not","no, nomi","84. matthews, stanley",first re,7.06,47,888,07/21/1824,1824,cincinna,ohio,cincinna,ohio,urban (l,middle,no tradi,presbyte,english,white,male,"Brown, Isabella","Matthews, Thomas J.",professor,no polit,no polit,kenyon c,graduate,1840,1,no gradu,no gradu,no gradu,no gradu,no law s,no law s,no law s,no law s,Self taught,ohio,1842,self-tau,2,"Theaker, Mary",1887,8,union ar,1861,1863,colonel,civil wa,nominee did not clerk for a supreme court justice,nominee,nominee,tennesse,1842,ohio,1844,nominee,nominee,solo pra,tennesse,1842,1844,solo pra,ohio,1879,1881,didn't t,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,ohio,1863,1865,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,"ohio, so",1858,1861,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,ohio,1877,1879,nominee,nominee,nominee,no: nomi,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,ohio,1845,1845,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,ohio,1855,1858,nominee,nominee,nominee,nominee,nominee,nominee,nominee did not serve on a st commission,nominee,nominee,01/26/1881,01/26/1881,nominee,nominee,nominee,solo pra,ohio,nominee,nominee,nominee,nominee,nominee,nominee,nominee,888,nominee,nominee,2,56,ohio,republic,democrat,"Swayne, Noah Haynes","hayes, rutherford birchard",republic,data unav,data unav,data unav,democrat,-0.364,data unav,data una,data unav,data una,data unav,data unav,no aba rating,no aba r,666. NO RECORD OF HEARING,referred,02/14/1881,referred,no recor,no recor,888. NO RECORD OF ACTION,no recor,no vote,no vote,nominati,888. NOMINATION NOT WITHDRAWN,888. NOT CONFIRMED OR DIDN'T SERVE,nominee not,nominee not,nominee not,nominee not,nominee not,nominee not,nominee n,nominee not,nominee n,nominee not,nominee n,nominee not,nominee n,nominee not,nominee n,nominee not,nominee n,nominee not,nominee n,nominee not,888. NOMINEE NOT CONFIRMED OR DIDN'T SERVE,nominee,nominee not confirmed or did not serve,nominee,888. NOMINEE NOT CONFIRMED OR DIDN'T SERVE,03/22/1889,washingt,district,64
"Matthews, Stanley",1881,associat,"no, not","yes, nom","85. matthews, stanley",second r,7.07,47,888,07/21/1824,1824,cincinna,ohio,cincinna,ohio,urban (l,middle,no tradi,presbyte,english,white,male,"Brown, Isabella","Matthews, Thomas J.",professor,no polit,no polit,kenyon c,graduate,1840,1,no gradu,no gradu,no gradu,no gradu,no law s,no law s,no law s,no law s,Self taught,ohio,1842,self-tau,2,"Theaker, Mary",1887,8,union ar,1861,1863,colonel,civil wa,nominee did not clerk for a supreme court justice,nominee,nominee,tennesse,1842,ohio,1844,nominee,nominee,solo pra,tennesse,1842,1844,solo pra,ohio,1879,1881,didn't t,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,ohio,1863,1865,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,"ohio, so",1858,1861,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,ohio,1877,1879,nominee,nominee,nominee,no: nomi,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,ohio,1845,1845,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,ohio,1855,1858,nominee,nominee,nominee,nominee,nominee,nominee,nominee did not serve on a st commission,nominee,nominee,03/14/1881,03/18/1881,nominee,nominee,nominee,solo pra,ohio,nominee,nominee,nominee,nominee,nominee,nominee,nominee,888,nominee,nominee,2,56,ohio,republic,democrat,"Swayne, Noah Haynes","garfield, james abram",republic,data unav,data unav,data unav,democrat,0.174,data unav,data una,data unav,data una,data unav,data unav,no aba rating,no aba r,666. NO RECORD OF HEARING,referred,05/09/1881,reported,no recor,no recor,05/12/1881,confirme,24,23,nominee,888. NOMINATION NOT WITHDRAWN,05/17/1881,data unavail,data unavail,data unavail,data unavail,data unavail,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,03/22/1889,64,died in office,justice,"Brewer, David Josiah",03/22/1889,washingt,district,64
"Gray, Horace",1881,associat,"no, not","yes, nom","86. gray, horace",first re,3.11,48,888,03/24/1828,1828,"boston,",massachu,"boston,",massachu,urban (l,upper,"yes, tra",unitaria,english,white,male,"Upham, Harriet","Gray, Horace",businessman,no polit,no polit,harvard,graduate,1845,1,no gradu,no gradu,no gradu,no gradu,harvard,graduate,1849,1,"Lowell, John",massachu,1851,nominee,1,"Matthews, Jane",1889,0,did not,did not,did not,did not,did not,nominee did not clerk for a supreme court justice,nominee,nominee,massachu,1851,nominee,nominee,nominee,nominee,solo pra,massachu,1851,1864,only one,only one,only one,only one,didn't t,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,massachu,1864,1881,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,no: nomi,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee did not serve on a st commission,nominee,nominee,12/19/1881,12/19/1881,state hi,nominee,massachu,not a pv,not a pv,nominee,nominee,nominee,nominee,nominee,nominee,nominee,888,nominee,nominee,17,53,massachu,republic,free soi,"Clifford, Nathan","arthur, chester alan",republic,0.13,data unav,data unav,divided,0.174,data unav,data una,data unav,data una,data unav,data unav,no aba rating,no aba r,666. NO RECORD OF HEARING,referred,12/20/1881,reported,no recor,no recor,12/20/1881,confirme,51,5,nominee,888. NOMINATION NOT WITHDRAWN,01/09/1882,data unavail,data unavail,data unavail,data unavail,data unavail,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,9/15/02,74,died in office,justice,"Holmes, Oliver Wendall, Jr",9/15/02,"nahant,",massachu,74
"Conkling, Roscoe",1882,associat,"no, not","no, nomi","87. conkling, roscoe",first re,2.17,no spaet,888,10/30/1829,1829,"albany,",new york,"albany,",new york,small ci,upper,"yes, tra",episcopa,english/scotch,white,male,"Conkburn, Eilza","Conkling, Alfred",lawyer,federal,4,no under,no under,no under,no under,no gradu,no gradu,no gradu,no gradu,no law s,no law s,no law s,no law s,"Kernan, Francis",new york,1849,nominee,1,"Seymour, Julia",1855,1,did not,did not,did not,did not,did not,nominee did not clerk for a supreme court justice,nominee,nominee,new york,1850,nominee,nominee,nominee,nominee,small pa,new york,1850,1858,solo pra,new york,1881,1882,didn't t,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,new york,1859,1863,new york,1867,1865,new york,1867,1881,nominee,nominee,nominee,no: nomi,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,new york,1850,1850,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,"utica, n",1858,1859,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee did not serve on a st commission,nominee,nominee,02/24/1882,02/24/1882,nominee,nominee,nominee,solo pra,new york,nominee,nominee,nominee,nominee,nominee,nominee,nominee,888,nominee,nominee,2,52,new york,republic,whig,"Hunt, Ward","arthur, chester alan",republic,0.13,data unav,data unav,divided,0.174,data unav,data una,data unav,data una,data unav,data unav,no aba rating,no aba r,666. NO RECORD OF HEARING,referred,03/02/1882,reported,no recor,no recor,03/02/1882,confirme,39,12,nominee,888. NOMINATION NOT WITHDRAWN,888. NOT CONFIRMED OR DIDN'T SERVE,nominee not,nominee not,nominee not,nominee not,nominee not,nominee not,nominee n,nominee not,nominee n,nominee not,nominee n,nominee not,nominee n,nominee not,nominee n,nominee not,nominee n,nominee not,nominee n,nominee not,888. NOMINEE NOT CONFIRMED OR DIDN'T SERVE,nominee,nominee not confirmed or did not serve,nominee,888. NOMINEE NOT CONFIRMED OR DIDN'T SERVE,04/18/1888,new york,new york,58
"Blatchford, Samuel",1882,associat,"no, not","yes, nom","88. blatchford, samuel",first re,2.18,49,02.01.03,03/09/1820,1820,new york,new york,new york,new york,urban (l,upper,no tradi,episcopa,english,white,male,"Mumford, Julia Ann","Blatchford, Richard",lawyer,state le,1,columbia,graduate,1837,1,no gradu,no gradu,no gradu,no gradu,no law s,no law s,no law s,no law s,"Seward, William H.",new york,1841,nominee,1,"Appleton, Caroline",1844,2,did not,did not,did not,did not,did not,nominee did not clerk for a supreme court justice,nominee,nominee,new york,1842,nominee,nominee,nominee,nominee,small pa,new york,1842,1845,law  fir,new york,1854,1867,didn't t,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,new york,new york,1867,1872,circuit,1872,1882,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,no: nomi,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee did not serve on a st commission,nominee,nominee,03/13/1882,03/13/1882,u.s. cir,u.s. cir,nominee,not a pv,not a pv,nominee,nominee,nominee,nominee,nominee,nominee,nominee,888,nominee,nominee,10,62,new york,republic,no known,"Hunt, Ward","arthur, chester alan",republic,0.13,data unav,data unav,divided,0.174,data unav,data una,data unav,data una,data unav,data unav,no aba rating,no aba r,666. NO RECORD OF HEARING,referred,03/22/1882,reported,no recor,no recor,03/22/1882,confirme,voice vo,voice vo,nominee,888. NOMINATION NOT WITHDRAWN,04/03/1882,data unavail,data unavail,data unavail,data unavail,data unavail,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,07/07/1893,73,died in office,justice,"White, Edward Douglass",07/07/1893,"newport,",rhode is,73
"Lamar, Lucius Quintus Cincinnatus",1887,associat,"no, not","yes, nom","89. lamar, lucius quintus cincinnatus",first re,4.13,50,888,09/17/1825,1825,eatonton,georgia,eatonton,georgia,family p,upper,"yes, tra",methodis,french,white,male,"Bird, Sarah","Lamar, Lucius Q. C.",plantation owner,state ju,1,emory un,graduate,1845,1,no gradu,no gradu,no gradu,no gradu,no law s,no law s,no law s,no law s,"Chappel, Absalom",georgia,1847,nominee,2,"Holt, Henrietta Dean",1887,4,confeder,1861,1865,judge ad,civil wa,nominee did not clerk for a supreme court justice,nominee,nominee,georgia,1847,nominee,nominee,nominee,nominee,small pa,georgia,1846,1846,small pa,mississi,1866,1872,mississi,professo,1867,1870,nominee,nominee,nominee,nominee,1,no,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,interior,1885,1888,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,mississi,1857,1860,mississi,1873,1877,mississi,1877,1885,nominee,nominee,nominee,no: nomi,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,georgia,1853,1853,nominee,nominee,nominee,nominee did not serve on a st commission,nominee,nominee,12/06/1887,12/12/1887,nominee,nominee,nominee,not a pv,not a pv,nominee,nominee,nominee,nominee,nominee,nominee,nominee,888,nominee,secretar,3,62,mississi,democrat,no known,"Woods, William Burnham","cleveland, grover",democrat,data unav,data unav,data unav,republic,0.174,data unav,data una,data unav,data una,data unav,data unav,no aba rating,no aba r,666. NO RECORD OF HEARING,referred,01/10/1888,reported,no recor,no recor,01/16/1888,confirme,32,28,nominee,888. NOMINATION NOT WITHDRAWN,01/18/1888,data unavail,data unavail,data unavail,data unavail,data unavail,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,01/23/1893,67,died in office,justice,"Jackson, Howell Edmunds",01/23/1893,vinevill,georgia,67
"Fuller, Melville Weston",1888,chief ju,"no, not","yes, nom","90. fuller, melville weston",first re,1.13,51,888,02/11/1833,1833,"augusta,",maine,"augusta,",maine,small ci,upper,"yes, tra",episcopa,english,white,male,"Weston, Catherine","Fuller, Frederick A.",lawyer,state lo,1,bowdoin,graduate,1853,1,no gradu,no gradu,no gradu,no gradu,harvard,attended,1855,1,Unspecified family members,maine,1854,nominee,2,"Coolbaugh, Mary E.",1866,8,did not,did not,did not,did not,did not,nominee did not clerk for a supreme court justice,nominee,nominee,maine,1855,illinois,1856,nominee,nominee,solo pra,maine,1855,1855,solo pra,illinois,1881,1888,didn't t,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,no: nomi,nominee,nominee,nominee,nominee,nominee,nominee,nominee,"augusta,",1856,1856,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,illinois,1863,1864,"augusta,",1856,1856,illinois: state constitutional convention,1861,1861,04/30/1888,05/02/1888,nominee,nominee,nominee,solo pra,illinois,nominee,nominee,nominee,nominee,nominee,nominee,nominee,888,nominee,nominee,33,55,illinois,democrat,no known,"Waite, Morrison Remick","cleveland, grover",democrat,data unav,data unav,data unav,republic,0.174,data unav,data una,data unav,data una,data unav,data unav,no aba rating,no aba r,666. NO RECORD OF HEARING,referred,07/02/1888,reported,no recor,no recor,07/20/1888,confirme,41,20,nominee,888. NOMINATION NOT WITHDRAWN,10/08/1888,data unavail,data unavail,data unavail,data unavail,data unavail,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,7/4/10,77,died in office,justice,"White, Edward Douglass",7/4/10,sorrento,maine,77
"Brewer, David Josiah",1889,associat,"no, not","yes, nom","91. brewer, david josiah",first re,7.08,52,08.01.03,06/20/1837,1837,"smyrna,",asia min,wethersf,connecti,small to,upper-mi,"yes, tra",congrega,english,white,male,"Field, Emilia","Brewer, Josiah",congregational minister,no polit,no polit,yale uni,graduate,1856,2,no gradu,no gradu,no gradu,no gradu,albany,graduate,1858,1,"Field, David Dudley",new york,1857,nominee,2,"Mott, Emma Miner",1901,4,did not,did not,did not,did not,did not,nominee did not clerk for a supreme court justice,nominee,nominee,new york,1858,kansas,1859,nominee,nominee,small pa,kansas,1859,1861,small pa,kansas,1862,1863,didn't t,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,kansas,1863,1869,nominee,nominee,nominee,kansas,1870,1884,nominee,nominee,nominee,nominee,circuit,1884,1890,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,no: nomi,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,kansas,1869,1870,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee did not serve on a st commission,nominee,nominee,12/04/1889,12/04/1889,u.s. cir,u.s. cir,nominee,not a pv,not a pv,nominee,nominee,nominee,nominee,nominee,nominee,nominee,888,nominee,nominee,5,52,kansas,republic,no known,"Matthews, Stanley","harrison, benjamin",republic,0.27,data unav,data unav,republic,0.209,data unav,data una,data unav,data una,data unav,data unav,no aba rating,no aba r,666. NO RECORD OF HEARING,referred,12/16/1889,reported,no recor,no recor,12/18/1889,confirme,53,11,nominee,888. NOMINATION NOT WITHDRAWN,01/06/1890,data unavail,data unavail,data unavail,data unavail,data unavail,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,3/28/10,72,died in office,justice,"Hughes, Charles Evans",3/28/10,washingt,district,72
"Brown, Henry Billings",1890,associat,"no, not","yes, nom","92. brown, henry billings",first re,5.09,53,888,03/02/1836,1836,south le,massachu,south le,massachu,small to,upper-mi,no tradi,congrega,english,white,male,"Tyler, Mary","Brown, Billings",merchant,no polit,no polit,yale uni,graduate,1856,1,no gradu,no gradu,no gradu,no gradu,harvard,attended,1859,2,Unspecified local attorneys,michigan,1860,nominee,2,"Tyler, Josephine",1904,0,did not,did not,did not,did not,did not,nominee did not clerk for a supreme court justice,nominee,nominee,michigan,1860,nominee,nominee,nominee,nominee,small pa,michigan,1860,1861,small pa,michigan,1868,1875,michigan,lecturer,1860,1875,nominee,nominee,nominee,nominee,1,no,michigan,1868,1868,nominee,nominee,nominee,nominee,nominee,nominee,michigan,michigan,1875,1890,nominee,nominee,nominee,michigan,1863,1868,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,no: nomi,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee did not serve on a st commission,nominee,nominee,12/23/1890,12/23/1890,u.s. dis,u.s. dis,nominee,not a pv,not a pv,nominee,nominee,nominee,nominee,nominee,nominee,nominee,888,nominee,nominee,15,54,michigan,republic,no known,"Miller, Samuel Freeman","harrison, benjamin",republic,0.27,data unav,data unav,republic,0.209,data unav,data una,data unav,data una,data unav,data unav,no aba rating,no aba r,666. NO RECORD OF HEARING,referred,12/29/1890,reported,no recor,no recor,12/29/1890,confirme,voice vo,voice vo,nominee,888. NOMINATION NOT WITHDRAWN,01/05/1891,data unavail,data unavail,data unavail,data unavail,data unavail,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,5/28/06,70,declining health,justice,"Moody, William Henry",9/4/13,bronxvil,new york,77
